original_filename,rel_posix,protocol,view_folder,orientation,occlusal,visibility_class,arch,region,visible_teeth_estimate,selection_status
anonymous_002-007-1425-00_1733985413148_Frontal_View.jpg,no_retractors/Frontal/anonymous_002-007-1425-00_1733985413148_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1003-00_1731041803319_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1003-00_1731041803319_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1004-00_1731042060585_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1004-00_1731042060585_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,selected
anonymous_003-007-1006-00_1731044633484_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1006-00_1731044633484_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1008-00_1731046769270_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1008-00_1731046769270_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1010-00_1731050226585_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1010-00_1731050226585_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1012-00_1731052265486_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1012-00_1731052265486_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,selected
anonymous_003-007-1022-00_1731213200765_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1022-00_1731213200765_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1033-00_1731299676705_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1033-00_1731299676705_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1035-00_1731301508894_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1035-00_1731301508894_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1037-00_1731303473745_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1037-00_1731303473745_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1039-00_1731308349671_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1039-00_1731308349671_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1041-00_1731310888841_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1041-00_1731310888841_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1042-00_1731311050235_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1042-00_1731311050235_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1044-00_1731313465914_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1044-00_1731313465914_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1056-00_1731387137891_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1056-00_1731387137891_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1058-00_1731390028166_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1058-00_1731390028166_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1060-00_1731392641455_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1060-00_1731392641455_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1062-00_1731395133625_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1062-00_1731395133625_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1064-00_1731398214377_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1064-00_1731398214377_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1066-00_1731400435441_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1066-00_1731400435441_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1078-00_1731473228593_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1078-00_1731473228593_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1080-00_1731475512134_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1080-00_1731475512134_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1082-00_1731478941599_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1082-00_1731478941599_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1084-00_1732176334274_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1084-00_1732176334274_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1086-00_1732180719427_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1086-00_1732180719427_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1092-00_1732250439677_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1092-00_1732250439677_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1096-00_1732256335617_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1096-00_1732256335617_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1098-00_1732258945547_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1098-00_1732258945547_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1100-00_1732262920724_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1100-00_1732262920724_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1122-00_1732509758419_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1122-00_1732509758419_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
anonymous_003-007-1124-00_1732512565150_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1124-00_1732512565150_Frontal_View.jpg,no_retractors,Frontal,Frontal,False,anterior_only,partial_arch,anterior,12,not_selected
