split,grade,src,dest,source_image_id,label_id,status,reason,crop_hash,content_hash
val,0,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_000.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\val\0\1_tooth_000.jpg,1,1,INCLUDED,,2b970411308b72fcfe593020d504be65fa64c0279d98acac5a12ececa829c85e,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,0,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_001.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\val\0\2_tooth_001.jpg,1,2,INCLUDED,,1767575f4161e07da90b6ab46574c1fb42d22e2ce2413418ff4bbb4396ae8ce5,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,2,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_002.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\val\2\3_tooth_002.jpg,1,3,INCLUDED,,11cfb83f86bafbee1152860b89ff57776618121986e5ca6ab304e62687ba184a,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,1,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_003.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\val\1\4_tooth_003.jpg,1,4,INCLUDED,,aa77842fe6f66642ec1cd07e723365745ac854a47bc45fa9a6190f401fcd1c43,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,2,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_004.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\val\2\5_tooth_004.jpg,1,5,INCLUDED,,aeabbd04fa87fc29e2be7d22e7761b078fe0396bb1c8a78f490961756d4b8b60,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,2,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_005.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\val\2\6_tooth_005.jpg,1,6,INCLUDED,,eb148c54cd6e5f5893a3deb67357511b91b33285be1bc84491ba017036a4e697,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,1,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_006.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\val\1\7_tooth_006.jpg,1,7,INCLUDED,,28c3bd888b2f9c0d0ca92eaae0bc2bedbeec28e216698c45f4d56ff0dc1eca97,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
train,3,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_22.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\train\3\22_crop_22.jpg,3,22,INCLUDED,,cf54a7f942e1aa4baa73465955c616b7a3ed8d66340efa683d6f1c60a86be7e2,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,0,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_23.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\train\0\23_crop_23.jpg,3,23,INCLUDED,,9404f0c1d86e26c3abf1865a55c928bafd16b17eee444016e31ce0778661a47c,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,4,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_24.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\train\4\24_crop_24.jpg,3,24,INCLUDED,,a092f001eb4e82b185d9c44b11b248139cae5be523d466c6d995e6cc31fe330b,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,3,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_25.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\train\3\25_crop_25.jpg,3,25,INCLUDED,,bdfe9b93724d3320ffb60430cb295f947c11d4868d83f5d7a6615c406e9dcf28,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,2,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_26.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\train\2\26_crop_26.jpg,3,26,INCLUDED,,ad427870770846f84fc3be6e3e20980dcfb7e29e344d7132feca027b5f9605f0,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,0,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_27.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\train\0\27_crop_27.jpg,3,27,INCLUDED,,a1dcb876e61c68c4920160f6e3e3915b8f97e61e13909076c4cedc334267c194,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,4,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_28.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v4\train\4\28_crop_28.jpg,3,28,INCLUDED,,b0d12326c574e2503f4f84f1b277efa16cacd21362a99dc2ff225bf88ab15664,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
