source_id,source_type,original_path,filename,license_source,width,height,format,sha256,status
pub_dca5bd80bcfef957,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_002-007-1425-00_1733985413148_Frontal_View.jpg,anonymous_002-007-1425-00_1733985413148_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1641,921,jpg,dca5bd80bcfef957bf22ebb22be202cb84333f105a70fb999104ba2eb0954043,registered_unlabelled
pub_ff0f4210b827b35f,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1003-00_1731041803319_Frontal_View.jpg,anonymous_003-007-1003-00_1731041803319_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1789,1005,jpg,ff0f4210b827b35f8705b5b2820e065897503bdca5052d0e3c507edc1444fefa,registered_unlabelled
pub_fb664adcdb3a7962,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1004-00_1731042060585_Frontal_View.jpg,anonymous_003-007-1004-00_1731042060585_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1757,987,jpg,fb664adcdb3a79627be16d62ef89dd423a814dccc72e2da5767d221f3f7c196a,registered_unlabelled
pub_79aeecea2e70e6d4,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1006-00_1731044633484_Frontal_View.jpg,anonymous_003-007-1006-00_1731044633484_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),2160,1213,jpg,79aeecea2e70e6d4ce3cf66fb6452798a876f6432efa796158f07e2e96c9d278,registered_unlabelled
pub_feea142376d9974a,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1008-00_1731046769270_Frontal_View.jpg,anonymous_003-007-1008-00_1731046769270_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1429,803,jpg,feea142376d9974a52dbd9bf3b79e106d6e68bb9bfc8ba25359ab4ee5f122789,registered_unlabelled
pub_898c8329c94ce576,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1010-00_1731050226585_Frontal_View.jpg,anonymous_003-007-1010-00_1731050226585_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1317,739,jpg,898c8329c94ce576f865ada93675df81628cf49588cfd080b301cb48f1d0d701,registered_unlabelled
pub_c023595f96ee9f04,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1012-00_1731052265486_Frontal_View.jpg,anonymous_003-007-1012-00_1731052265486_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1905,1070,jpg,c023595f96ee9f04eac4320f1853355227b93747cda9cc9674c9fb43c228fda0,registered_unlabelled
pub_41d577acbd82bd38,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1022-00_1731213200765_Frontal_View.jpg,anonymous_003-007-1022-00_1731213200765_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1448,813,jpg,41d577acbd82bd38a53f634a64423bd14d49d575d3d9becd2cc22d32a1a245ab,registered_unlabelled
pub_d971619cdfac5cda,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1033-00_1731299676705_Frontal_View.jpg,anonymous_003-007-1033-00_1731299676705_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1639,920,jpg,d971619cdfac5cda591b2f24dc0109722f74f2fb1d528d490eee0f9a3c84e92d,registered_unlabelled
pub_fe620e2886ce26c3,public,C:\Users\anant\OneDrive\Desktop\icdas project\data_external\detection\raw\no_retractors\Frontal\anonymous_003-007-1035-00_1731301508894_Frontal_View.jpg,anonymous_003-007-1035-00_1731301508894_Frontal_View.jpg,Zenodo 10.5281/zenodo.14827784 (public RGB intraoral; lesion d/D are NOT ICDAS),1587,891,jpg,fe620e2886ce26c336358edae16bc85db39f4bba685732047dae4cdd2955c321,registered_unlabelled
