image_name,crop_name,confidence,x1,y1,x2,y2,crop_w,crop_h
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_000.jpg,0.3413,33,278,142,497,109,219
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_001.jpg,0.2919,49,285,174,498,125,213
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_002.jpg,0.6425,121,487,210,679,89,192
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_003.jpg,0.8036,120,265,236,511,116,246
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_004.jpg,0.4488,136,493,199,653,63,160
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_005.jpg,0.7807,199,481,323,703,124,222
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_006.jpg,0.8534,214,270,371,497,157,227
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_007.jpg,0.8763,308,485,445,721,137,236
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_008.jpg,0.8774,361,283,577,515,216,232
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_009.jpg,0.8723,449,488,602,721,153,233
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_010.jpg,0.9101,588,275,820,520,232,245
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_011.jpg,0.8878,607,489,747,725,140,236
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_012.jpg,0.8002,746,481,901,722,155,241
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_013.jpg,0.8699,804,250,968,501,164,251
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_014.jpg,0.839,885,479,1029,724,144,245
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_015.jpg,0.8383,961,253,1091,532,130,279
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_016.jpg,0.386,1010,482,1105,677,95,195
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_017.jpg,0.4352,1023,504,1088,660,65,156
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_018.jpg,0.5318,1072,270,1192,522,120,252
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_019.jpg,0.6092,1077,491,1146,630,69,139
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_020.jpg,0.3994,1099,289,1210,511,111,222
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_021.jpg,0.3914,1141,490,1231,604,90,114
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_022.jpg,0.5791,1154,741,1319,989,165,248
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_023.jpg,0.2535,1176,307,1278,494,102,187
anonymous-frontalView-1727348211233.jpg,anonymous-frontalView-1727348211233_tooth_024.jpg,0.5439,1189,336,1281,481,92,145
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_000.jpg,0.3657,497,405,582,551,85,146
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_001.jpg,0.3724,581,586,697,733,116,147
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_002.jpg,0.5077,583,375,698,572,115,197
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_003.jpg,0.4565,598,588,704,715,106,127
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_004.jpg,0.679,723,556,856,742,133,186
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_005.jpg,0.5642,757,361,884,533,127,172
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_006.jpg,0.5637,891,560,1026,714,135,154
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_007.jpg,0.6587,961,353,1223,562,262,209
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_008.jpg,0.369,1076,559,1214,711,138,152
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_009.jpg,0.5367,1249,576,1379,735,130,159
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_010.jpg,0.8063,1255,355,1485,579,230,224
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_011.jpg,0.6487,1423,586,1532,734,109,148
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_012.jpg,0.406,1559,591,1638,731,79,140
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_013.jpg,0.5443,1563,393,1670,568,107,175
anonymous-frontalView-1727418713868.jpg,anonymous-frontalView-1727418713868_tooth_014.jpg,0.4779,1677,428,1785,605,108,177
