original_filename,rel_posix,md5,ahash,duplicate_status,duplicate_group_id,canonical,filename_duplicate,hash_duplicate,perceptual_duplicate
anonymous_003-007-1208-00_1732856242544_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1208-00_1732856242544_Frontal_View.jpg,f93006535cb46d849953f1478dc7c89a,66513985747968,perceptual_canonical,ahash_00003c7e7e7e3c00,True,False,False,True
anonymous_003-007-1239-00_1732953329744_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1239-00_1732953329744_Frontal_View.jpg,822a425fb7da543486fd5b1b81bb77b1,2320512822688768,perceptual_canonical,ahash_00083e7e7e7e3c00,True,False,False,True
anonymous_003-007-1241-00_1732955159187_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1241-00_1732955159187_Frontal_View.jpg,1db565a069b3181db530f5e681de42a1,15901680448968704,perceptual_canonical,ahash_00387e7e7e7e1800,True,False,False,True
anonymous_003-007-1406-00_1733903593844_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-007-1406-00_1733903593844_Frontal_View.jpg,d949f6394447b58e4ae20575c9f1ebbf,139081753181184,perceptual_canonical,ahash_00007e7e7e7e3c00,True,False,False,True
anonymous_003-008-1243-00_1732960942070_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-008-1243-00_1732960942070_Frontal_View.jpg,262bf4ce0851e4db1452fd4194d2b68f,16042969840630784,perceptual_canonical,ahash_0038fefefe7e3c00,True,False,False,True
anonymous_003-008-1275-00_1733142218216_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-008-1275-00_1733142218216_Frontal_View.jpg,e38fcf4d994a3215d08a1a5f33468bbb,16042969840490496,perceptual_canonical,ahash_0038fefefe7c1800,True,False,False,True
anonymous_003-008-1396-00_1733833829814_Frontal_View.jpg,no_retractors/Frontal/anonymous_003-008-1396-00_1733833829814_Frontal_View.jpg,df4c185bc9b80977343f4c157162ba77,16042969840630784,perceptual_duplicate_of_anonymous_003-008-1243-00_1732960942070_Frontal_View.jpg,ahash_0038fefefe7e3c00,False,False,False,True
anonymous_003_007_462_00_1728566123721_Frontal_View.jpg,no_retractors/Frontal/anonymous_003_007_462_00_1728566123721_Frontal_View.jpg,e3da5a3da9c99f5cb388ab5b8d83be09,280371144818688,perceptual_canonical,ahash_0000fefefe7e0000,True,False,False,True
anonymous_003_007_506_00_1728713000303_Frontal_View.jpg,no_retractors/Frontal/anonymous_003_007_506_00_1728713000303_Frontal_View.jpg,dec71233edb9493e1a12302c9ccbcb75,139081753181184,perceptual_duplicate_of_anonymous_003-007-1406-00_1733903593844_Frontal_View.jpg,ahash_00007e7e7e7e3c00,False,False,False,True
anonymous_003_103_298_00_1727864717921_Frontal_View.jpg,no_retractors/Frontal/anonymous_003_103_298_00_1727864717921_Frontal_View.jpg,bbd13451a69c646a0d07d3c0744607e5,16042957995932672,perceptual_canonical,ahash_0038fefc3c7e7c00,True,False,False,True
