filename,image_exists,yolo_path,yolo_exists,yolo_nonempty,n_boxes,class_ids,voc_has_objects,annotation_status_manifest,issues,qc_pass
anonymous-frontalView-1727348211233.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous-frontalView-1727348211233.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous-frontalView-1727764541094.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous-frontalView-1727764541094.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-1303-00_1733387722479_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-1303-00_1733387722479_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-603-00_1729054784683_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-603-00_1729054784683_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-636-00_1729148622989_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-636-00_1729148622989_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-662-01_1729231169609_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-662-01_1729231169609_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-710-01_1729485813570_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-710-01_1729485813570_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-764-01_1729742719636_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-764-01_1729742719636_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-835-00_1730098029605_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-835-00_1730098029605_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-874-01_1730269462019_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-874-01_1730269462019_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-966-00_1730877856983_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-966-00_1730877856983_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-008-589-01_1728986264902_Frontal_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-008-589-01_1728986264902_Frontal_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous-leftLateralView-1726807333703.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous-leftLateralView-1726807333703.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous-leftLateralView-1727428806555.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous-leftLateralView-1727428806555.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-1086-00_1732180719427_Left_Lateral_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-1086-00_1732180719427_Left_Lateral_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
anonymous_003-007-1170-01_1732690605466_Left_Lateral_View.jpg,True,fdi_detection_dataset\annotations\yolo\anonymous_003-007-1170-01_1732690605466_Left_Lateral_View.txt,True,False,0,,False,not_annotated,empty_yolo_placeholder;voc_size_only_no_boxes,False
